시점,출생아수(명),조출생률(천명당),사망자수(명),조사망률(천명당),자연증가건수(명),자연증가율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),주택매매가격지수,주택가변동률
2015.05,36534,8.5,22935,5.3,13599,3.1,27946,6.5,8317,1.9,85.95888616,0.199
2015.06,35520,8.5,21345,5.1,14175,3.4,26737,6.4,10000,2.4,86.28370863,0.256
2015.07,36612,8.5,21534,5,15078,3.5,23571,5.4,9516,2.2,86.52737479,0.254
2015.08,35207,8.1,21496,5,13711,3.2,21821,5,8682,2,86.75817316,0.223
2015.09,36444,8.7,21375,5.1,15069,3.6,19001,4.5,8809,2.1,87.04133985,0.218
2015.10,36702,8.5,23050,5.3,13652,3.2,23237,5.4,9789,2.3,87.32672346,0.258
2015.11,33467,8,22678,5.4,10789,2.6,26047,6.2,9096,2.2,87.59675618,0.258
2015.12,31910,7.4,23410,5.4,8500,2,33294,7.7,9842,2.3,87.72936783,0.24
2016.01,39405,9.1,24708,5.7,14697,3.4,23869,5.5,8308,1.9,87.76786828,0.192
2016.02,34830,8.6,24601,6.1,10229,2.5,22474,5.6,8066,2,87.76819584,0.189
2016.03,38131,8.8,25208,5.8,12923,3,24991,5.8,8956,2.1,87.76437098,0.232
2016.04,35147,8.4,22830,5.5,12317,2.9,22844,5.5,8309,2,87.78000747,0.237
2016.05,34341,7.9,23125,5.3,11216,2.6,25489,5.9,9170,2.1,87.8096394,0.25
2016.06,32849,7.8,21350,5.1,11499,2.7,24285,5.8,9215,2.2,87.84505568,0.283
2016.07,33920,7.8,22053,5.1,11867,2.7,21154,4.9,8666,2,87.88371674,0.284
2016.08,33897,7.8,22604,5.2,11293,2.6,23017,5.3,9387,2.2,87.94553356,0.267
2016.09,34375,8.2,22081,5.3,12294,2.9,17763,4.2,9107,2.2,88.01452177,0.285
2016.10,31592,7.3,23610,5.4,7982,1.8,21951,5.1,8942,2.1,88.16120625,0.296
2016.11,30366,7.2,23333,5.6,7033,1.7,25385,6.1,9950,2.4,88.29523245,0.285
2016.12,27390,6.3,25324,5.8,2066,0.5,28413,6.6,9252,2.1,88.35302724,0.26
2017.01,34834,8,25902,6,8932,2,23845,5.5,8101,1.9,88.36820805,0.2
2017.02,30499,7.8,22884,5.8,7615,1.9,21501,5.5,8874,2.3,88.38138739,0.259
2017.03,33196,7.6,24230,5.6,8966,2.1,23290,5.4,9486,2.2,88.4311038,0.343
2017.04,30337,7.2,23142,5.5,7195,1.7,20076,4.8,7911,1.9,88.51702972,0.348
2017.05,30303,7,23766,5.5,6537,1.5,26924,6.2,9289,2.1,88.64394852,0.451
2017.06,28892,6.9,21986,5.2,6906,1.6,22292,5.3,8971,2.1,88.83170731,0.454
2017.07,29418,6.8,22245,5.1,7173,1.6,18964,4.4,8194,1.9,88.99186997,0.462
2017.08,30135,6.9,22846,5.2,7289,1.7,20068,4.6,9482,2.2,89.21206759,0.383
2017.09,30085,7.1,22622,5.4,7463,1.8,17933,4.3,9400,2.2,89.32290298,0.347
2017.10,27857,6.4,24624,5.7,3233,0.7,17348,4,8351,1.9,89.44015327,0.308
2017.11,27068,6.4,24404,5.8,2664,0.6,24629,5.8,9139,2.2,89.55680514,0.348
2017.12,25147,5.8,26883,6.2,-1736,-0.4,27585,6.3,8834,2,89.65846408,0.344
2018.01,32198,7.4,31550,7.2,648,0.1,24370,5.6,8860,2,89.78721183,0.376
2018.02,27575,7,25001,6.4,2574,0.7,19008,4.8,7724,2,89.96409613,0.367
2018.03,29987,6.9,25252,5.8,4735,1.1,22773,5.2,9117,2.1,90.07536497,0.401
2018.04,27734,6.6,23963,5.7,3771,0.9,20610,4.9,8685,2.1,90.12559961,0.336
2018.05,27949,6.4,23996,5.5,3953,0.9,24996,5.7,9706,2.2,90.10291622,0.363
2018.06,26357,6.3,22596,5.4,3761,0.9,20610,4.9,8595,2,90.08294858,0.39
2018.07,27033,6.2,23886,5.5,3147,0.7,20091,4.6,9327,2.1,90.06494804,0.443
2018.08,27381,6.3,23937,5.5,3444,0.8,19345,4.4,9293,2.1,90.08620137,0.488
2018.09,26066,6.2,22906,5.4,3160,0.7,14344,3.4,7826,1.9,90.36490511,0.521
2018.10,26474,6.1,25010,5.7,1464,0.3,21856,5,10548,2.4,90.53623043,0.54
2018.11,25301,6,24200,5.7,1101,0.3,22801,5.4,10087,2.4,90.65108871,0.5
2018.12,22767,5.2,26523,6.1,-3756,-0.9,26818,6.2,8916,2,90.64589268,0.394
2019.01,30271,6.9,27366,6.3,2905,0.7,21326,4.9,9691,2.2,90.51262637,0.353
2019.02,25710,6.5,22918,5.8,2792,0.7,18199,4.6,8204,2.1,90.40711414,0.276
2019.03,27049,6.2,24985,5.7,2064,0.5,19549,4.5,9071,2.1,90.26223608,0.323
2019.04,26104,6.2,23833,5.6,2271,0.5,20026,4.7,9536,2.3,90.07561229,0.337
2019.05,25299,5.8,24756,5.7,543,0.1,23045,5.3,9861,2.3,89.93153354,0.361
2019.06,23992,5.7,23056,5.5,936,0.2,17942,4.3,8680,2.1,89.81618864,0.367
2019.07,25222,5.8,23216,5.3,2006,0.5,19178,4.4,9497,2.2,89.73471085,0.384
2019.08,24371,5.6,23707,5.4,664,0.2,18336,4.2,9054,2.1,89.69087568,0.387
2019.09,24090,5.7,23570,5.6,520,0.1,15798,3.7,9010,2.1,89.70384126,0.382
2019.10,25613,5.9,25569,5.9,44,0,20327,4.7,9859,2.3,89.80942606,0.386
2019.11,23727,5.6,25412,6,-1685,-0.4,20488,4.9,9199,2.2,89.98047613,0.384
2019.12,21228,4.9,26722,6.1,-5494,-1.3,24945,5.7,9169,2.1,90.32279404,0.394
2020.01,26646,6.1,28430,6.5,-1784,-0.4,19819,4.6,8830,2,90.57142319,0.38
2020.02,22759,5.6,25423,6.2,-2664,-0.7,19103,4.7,8232,2,90.87654049,0.37
2020.03,24190,5.6,25850,5.9,-1660,-0.4,19358,4.5,7296,1.7,91.36920152,0.316
2020.04,23299,5.5,24674,5.9,-1375,-0.3,15669,3.7,9257,2.2,91.61787398,0.275
2020.05,22847,5.3,24346,5.6,-1499,-0.3,18144,4.2,8927,2.1,91.74158747,0.297
2020.06,22117,5.3,23638,5.6,-1521,-0.4,17184,4.1,8775,2.1,92.11817304,0.348
2020.07,22999,5.3,23989,5.5,-990,-0.2,17080,3.9,9788,2.3,92.68316522,0.404
2020.08,22402,5.1,25289,5.8,-2887,-0.7,15032,3.5,8455,1.9,93.12136817,0.363
2020.09,23499,5.6,24352,5.8,-853,-0.2,15324,3.6,9536,2.3,93.51507395,0.337
2020.10,21884,5,26488,6.1,-4604,-1.1,16473,3.8,9347,2.1,93.81239916,0.329
2020.11,20054,4.8,25603,6.1,-5549,-1.3,18177,4.3,8876,2.1,94.31680133,0.353
2020.12,19641,4.5,26866,6.2,-7225,-1.7,22139,5.1,9181,2.1,95.16448164,0.374
2021.01,24909,5.7,27230,6.2,-2321,-0.5,16280,3.7,8371,1.9,95.91699718,0.352
2021.02,21328,5.4,23795,6,-2467,-0.6,14972,3.8,7757,2,96.77535279,0.353
2021.03,23934,5.5,26550,6.1,-2616,-0.6,16762,3.8,9074,2.1,97.4872193,0.378
2021.04,22710,5.4,25077,5.9,-2368,-0.6,15861,3.8,9039,2.1,98.17542084,0.387
2021.05,21935,5,25577,5.9,-3642,-0.8,16153,3.7,8445,1.9,98.86155873,0.375
2021.06,21524,5.1,24398,5.8,-2875,-0.7,16235,3.8,8741,2.1,100,0.382
2021.07,22356,5.1,25748,5.9,-3392,-0.8,15739,3.6,8306,1.9,100.8527701,0.386
2021.08,22287,5.1,25953,6,-3665,-0.8,14720,3.4,8376,1.9,101.8232676,0.395
2021.09,21893,5.2,25674,6.1,-3780,-0.9,13733,3.3,8365,2,102.7556195,0.396
2021.10,20741,4.8,27775,6.4,-7034,-1.6,15203,3.5,7704,1.8,103.6644343,0.372
2021.11,19793,4.7,28363,6.7,-8570,-2,17088,4,8770,2.1,104.3169996,0.367
2021.12,17084,3.9,31634,7.3,-14550,-3.3,19761,4.5,8725,2,104.6169034,0.357
2022.01,24598,5.6,29686,6.8,-5088,-1.2,14753,3.4,7359,1.7,104.7193237,0.322
2022.02,20654,5.2,29189,7.4,-8535,-2.2,15308,3.9,7136,1.8,104.7501852,0.315
2022.03,22925,5.3,44487,10.2,-21562,-4.9,15316,3.5,7882,1.8,104.7681327,0.327
